HudongItem,relation,NewNode
沼泽山雀,topic's main category,Category:Poecile palustris
旋木雀,described by source,自然系统第10版
煤山雀,IUCN conservation status,无危物种
大山雀,parent taxon,山雀属
山雀科,parent taxon,Sylvioidea
黄腹山雀,IUCN conservation status,无危物种
褐头山雀,described by source,俄语百科全书
煤山雀,described by source,Encyclopedia of Armenian Nature
大山雀,IUCN conservation status,无危物种
山雀科,main food source,种子
煤山雀,described by source,俄语百科全书
大山雀,topic's main category,Category:Parus major
山雀科,topic's main category,Category:山雀科
山雀科,described by source,Encyclopedia of Armenian Nature
山雀科,described by source,俄语百科全书
棕头鸦雀,instance of,生物分类单元
棕头鸦雀,parent taxon,Sinosuthora
棕头鸦雀,taxon synonym,Paradoxornis webbianus
棕头鸦雀,original combination,Suthora webbiana
棕头鸦雀,IUCN conservation status,无危物种
杂色噪鹛,instance of,生物分类单元
杂色噪鹛,parent taxon,Trochalopteron
杂色噪鹛,original combination,Cinclosoma variegatum
杂色噪鹛,IUCN conservation status,无危物种
棕颈钩嘴鹛,instance of,生物分类单元
棕颈钩嘴鹛,parent taxon,钩嘴鹛属
棕颈钩嘴鹛,IUCN conservation status,无危物种
鹪鹩,instance of,生物分类单元
鹪鹩科,instance of,生物分类单元
河乌科,instance of,生物分类单元
小嘴乌鸦,instance of,生物分类单元
大嘴乌鸦,instance of,生物分类单元
鹪鹩,parent taxon,Troglodytes
鹪鹩,IUCN conservation status,无危物种
鹪鹩科,parent taxon,鸣禽
河乌科,parent taxon,Cinclidae
鹪鹩,award received,Bird of the Year
鹪鹩科,topic's main category,Category:鹪鹩科
河乌科,topic's main category,Category:Cinclus
小嘴乌鸦,IUCN conservation status,无危物种
大嘴乌鸦,IUCN conservation status,无危物种
鹪鹩,topic's main category,Category:Troglodytes troglodytes
小嘴乌鸦,topic's main category,Category:Corvus corone
大嘴乌鸦,topic's main category,Category:Corvus macrorhynchos
小嘴乌鸦,Status in the Red List of Threatened Species in the Czech Republic,near threatened
秃鼻乌鸦,instance of,生物分类单元
灰喜鹊,instance of,生物分类单元
红嘴蓝鹊,instance of,生物分类单元
松鸦,instance of,生物分类单元
鸦科,instance of,生物分类单元
鹩哥,instance of,生物分类单元
秃鼻乌鸦,IUCN conservation status,无危物种
灰喜鹊,parent taxon,Cyanopica
红嘴蓝鹊,parent taxon,蓝鹊属
秃鼻乌鸦,award received,Bird of the Year
灰喜鹊,IUCN conservation status,无危物种
红嘴蓝鹊,IUCN conservation status,无危物种
松鸦,parent taxon,松鸦属
八哥,instance of,生物分类单元
灰椋鸟,instance of,生物分类单元
鸦科,parent taxon,Corvoidea
鹩哥,parent taxon,Gracula
秃鼻乌鸦,topic's main category,Category:Corvus frugilegus
灰喜鹊,topic's main category,Category:Cyanopica cyanus
红嘴蓝鹊,topic's main category,Category:Urocissa erythrorhyncha
松鸦,IUCN conservation status,无危物种
鸦科,topic's main category,Category:鸦科
鹩哥,IUCN conservation status,无危物种
秃鼻乌鸦,described by source,亚美尼亚苏维埃百科全书
松鸦,topic's main category,Category:Garrulus glandarius
八哥,parent taxon,八哥属
灰椋鸟,parent taxon,Spodiopsar
秃鼻乌鸦,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
松鸦,described by source,亚美尼亚苏维埃百科全书
八哥,IUCN conservation status,无危物种
灰椋鸟,original combination,Sturnus cineraceus
八哥,topic's main category,Category:Acridotheres cristatellus
灰椋鸟,IUCN conservation status,无危物种
灰椋鸟,topic's main category,Category:Spodiopsar cineraceus
椋鸟科,instance of,生物分类单元
灰卷尾,instance of,生物分类单元
卷尾科,instance of,单型
黄鹂科,instance of,生物分类单元
椋鸟科,topic's main category,Category:椋鸟科
灰卷尾,parent taxon,Dicrurus
灰卷尾,IUCN conservation status,无危物种
卷尾科,topic's main category,Category:Dicruridae
黄鹂科,topic's main category,Category:黄鹂科
黄鹂科,described by source,Nordisk familjebok
黄鹂科,described by source,亚美尼亚苏维埃百科全书
黄鹂科,described by source,Encyclopedia of Armenian Nature
田鹨,instance of,生物分类单元
金腰燕,instance of,生物分类单元
田鹨,parent taxon,鹨属
岩燕,instance of,生物分类单元
燕科,instance of,生物分类单元
田鹨,IUCN conservation status,无危物种
角百灵,instance of,生物分类单元
云雀,instance of,生物分类单元
金腰燕,parent taxon,Cecropis
田鹨,topic's main category,Category:Anthus novaeseelandiae
百灵,instance of,维基媒体消歧义页
金腰燕,original combination,Hirundo daurica
岩燕,parent taxon,岩燕属
角百灵,parent taxon,角百灵属
百灵科,instance of,生物分类单元
云雀,parent taxon,云雀属
金腰燕,IUCN conservation status,无危物种
岩燕,original combination,Eurasian crag-martin
燕科,topic's main category,Category:燕科
角百灵,IUCN conservation status,无危物种
云雀,IUCN conservation status,无危物种
金腰燕,topic's main category,Category:Cecropis daurica
岩燕,IUCN conservation status,无危物种
燕科,described by source,Bible Encyclopedia of Archimandrite Nicephorus
角百灵,topic's main category,Category:Eremophila alpestris
百灵科,parent taxon,鸣禽
云雀,award received,Bird of the Year
燕科,described by source,俄语百科全书
角百灵,described by source,Encyclopedia of Armenian Nature
百灵科,topic's main category,Category:百灵科
云雀,award received,Bird of the Year
燕科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
百灵科,described by source,地狱辞典
云雀,topic's main category,Category:Alauda arvensis
百灵科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
百灵科,described by source,俄语百科全书
八色鸫科,instance of,生物分类单元
长尾阔嘴鸟,instance of,生物分类单元
阔嘴鸟科,instance of,生物分类单元
八色鸫科,topic's main category,Category:八色鸫科
长尾阔嘴鸟,parent taxon,Psarisomus
阔嘴鸟科,parent taxon,霸鹟亚目
棕腹啄木鸟,instance of,生物分类单元
黄颈啄木鸟,instance of,生物分类单元
长尾阔嘴鸟,IUCN conservation status,无危物种
阔嘴鸟科,topic's main category,Category:Eurylaimidae by common name
阔嘴鸟科,topic's main category,Category:阔嘴鸟科
棕腹啄木鸟,parent taxon,Picoides
栗啄木鸟,instance of,生物分类单元
黄颈啄木鸟,parent taxon,Picoides
白喉犀鸟,instance of,生物分类单元
戴胜,instance of,生物分类单元
栗啄木鸟,parent taxon,Micropternus
栗啄木鸟,IUCN conservation status,无危物种
三宝鸟,instance of,生物分类单元
鸱鸮科,instance of,生物分类单元
草鸮科,instance of,生物分类单元
白喉犀鸟,parent taxon,凤头犀鸟属
戴胜,parent taxon,Upupa
白喉犀鸟,IUCN conservation status,近危物种
戴胜,IUCN conservation status,无危物种
三宝鸟,parent taxon,Eurystomus
鸱鸮科,parent taxon,猫头鹰
草鸮科,parent taxon,猫头鹰
戴胜,award received,Bird of the Year
三宝鸟,IUCN conservation status,无危物种
鸱鸮科,topic's main category,Category:鸱鸮科
草鸮科,topic's main category,Category:草鸮科
戴胜,topic's main category,Category:Upupa
三宝鸟,topic's main category,Category:Eurystomus orientalis
小鸦鹃,instance of,生物分类单元
翠金鹃,instance of,生物分类单元
噪鹃,instance of,生物分类单元
紫金鹃,instance of,生物分类单元
杜鹃科,instance of,生物分类单元
乌鹃,instance of,生物分类单元
小鸦鹃,parent taxon,鸦鹃属
翠金鹃,parent taxon,Chrysococcyx
噪鹃,parent taxon,Koel
鹦鹉科,instance of,生物分类单元
火斑鸠,instance of,生物分类单元
灰斑鸠,instance of,生物分类单元
紫金鹃,parent taxon,Chrysococcyx
乌鹃,parent taxon,Surniculus
小鸦鹃,IUCN conservation status,无危物种
翠金鹃,IUCN conservation status,无危物种
噪鹃,IUCN conservation status,无危物种
紫金鹃,IUCN conservation status,无危物种
杜鹃科,topic's main category,Category:杜鹃科
乌鹃,IUCN conservation status,无危物种
小鸦鹃,topic's main category,Category:Centropus bengalensis
噪鹃,topic's main category,Category:Eudynamys scolopaceus
山斑鸠,instance of,生物分类单元
斑尾鹃鸠,instance of,生物分类单元
岩鸽,instance of,生物分类单元
山皇鸠,instance of,生物分类单元
鹦鹉科,parent taxon,Psittacoidea
火斑鸠,parent taxon,斑鸠属
灰斑鸠,parent taxon,斑鸠属
杜鹃科,described by source,俄语百科全书
鹦鹉科,topic's main category,Category:鹦鹉科
火斑鸠,IUCN conservation status,无危物种
灰斑鸠,IUCN conservation status,无危物种
杜鹃科,described by source,俄语百科全书
山斑鸠,parent taxon,斑鸠属
黄脚绿鸠,instance of,生物分类单元
红翅绿鸠,instance of,生物分类单元
鸠鸽科,instance of,生物分类单元
斑尾鹃鸠,parent taxon,鹃鸠属
岩鸽,parent taxon,鸽属
山皇鸠,parent taxon,皇鸠属
鹦鹉科,described by source,亚美尼亚苏维埃百科全书
灰斑鸠,topic's main category,Category:Streptopelia decaocto
杜鹃科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
山斑鸠,IUCN conservation status,无危物种
斑尾鹃鸠,IUCN conservation status,无危物种
岩鸽,IUCN conservation status,无危物种
山皇鸠,IUCN conservation status,无危物种
黄脚绿鸠,parent taxon,绿鸠属
红翅绿鸠,parent taxon,绿鸠属
黄脚绿鸠,IUCN conservation status,无危物种
红翅绿鸠,IUCN conservation status,无危物种
鸠鸽科,topic's main category,Category:鸠鸽科
红翅绿鸠,topic's main category,Category:Treron sieboldii
鸠鸽科,described by source,俄语百科全书
鸠鸽科,on focus list of Wikimedia project,Wikipedia:基础条目
角嘴海雀,instance of,生物分类单元
海雀科,instance of,生物分类单元
沙鸡科,instance of,生物分类单元
角嘴海雀,parent taxon,Cerorhinca
乌燕鸥,instance of,生物分类单元
海雀科,parent taxon,Pan-Alcidae
沙鸡科,parent taxon,Pterocliformes
角嘴海雀,IUCN conservation status,无危物种
海雀科,topic's main category,Category:海雀科
沙鸡科,topic's main category,Category:Pteroclididae
角嘴海雀,topic's main category,Category:Cerorhinca monocerata
乌燕鸥,parent taxon,Onychoprion
红嘴鸥,instance of,生物分类单元
沙鸡科,described by source,Encyclopedia of Armenian Nature
乌燕鸥,original combination,Sterna fuscata
沙鸡科,described by source,俄语百科全书
乌燕鸥,IUCN conservation status,无危物种
海鸥,instance of,生物分类单元
黑尾鸥,instance of,生物分类单元
鸥科,instance of,生物分类单元
红嘴鸥,parent taxon,Chroicocephalus
乌燕鸥,topic's main category,Category:Onychoprion fuscatus
红嘴鸥,original combination,Larus ridibundus
鸥科,parent taxon,Lari
红嘴鸥,topic's main category,Category:Chroicocephalus ridibundus
海鸥,IUCN conservation status,无危物种
黑尾鸥,IUCN conservation status,无危物种
鸥科,topic's main category,Category:Gulls
红嘴鸥,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
海鸥,Status in the Red List of Threatened Species in the Czech Republic,regionally extinct
燕鸻科,instance of,生物分类单元
贼鸥科,instance of,单型
燕鸻科,topic's main category,Category:Glareolidae
燕鸻科,described by source,Encyclopedia of Armenian Nature
红颈瓣蹼鹬,instance of,生物分类单元
贼鸥科,topic's main category,Category:贼鸥科
贼鸥科,described by source,Nordisk familjebok
红颈瓣蹼鹬,parent taxon,瓣蹼鹬属
贼鸥科,described by source,Encyclopedia of Armenian Nature
红颈瓣蹼鹬,IUCN conservation status,无危物种
红颈瓣蹼鹬,topic's main category,Category:Phalaropus lobatus
贼鸥科,different from,Skua
红颈瓣蹼鹬,described by source,Encyclopedia of Armenian Nature
大杓鹬,instance of,生物分类单元
鹬科,instance of,生物分类单元
鹤鹬,instance of,生物分类单元
大杓鹬,parent taxon,杓鹬属
小杓鹬,instance of,生物分类单元
大杓鹬,IUCN conservation status,濒危物种
鹤鹬,parent taxon,鹬属
大杓鹬,topic's main category,Category:Numenius madagascariensis
小杓鹬,parent taxon,杓鹬属
环颈鸻,instance of,生物分类单元
灰头麦鸡,instance of,生物分类单元
鹬科,topic's main category,Category:鹬科
鹤鹬,IUCN conservation status,无危物种
小杓鹬,IUCN conservation status,无危物种
鹬科,described by source,俄语百科全书
鹤鹬,topic's main category,Category:Tringa erythropus
环颈鸻,parent taxon,鸻属
鸻科,instance of,生物分类单元
彩鹬,instance of,生物分类单元
彩鹬科,instance of,生物分类单元
大鸨,instance of,生物分类单元
小鸨,instance of,生物分类单元
骨顶鸡,instance of,生物分类单元
灰头麦鸡,parent taxon,麦鸡属
鹤鹬,described by source,俄语百科全书
环颈鸻,IUCN conservation status,无危物种
灰头麦鸡,IUCN conservation status,无危物种
环颈鸻,topic's main category,Category:Charadrius alexandrinus
彩鹬,parent taxon,彩鹬属
小鸨,parent taxon,Tetrax
骨顶鸡,parent taxon,骨顶属
环颈鸻,described by source,Encyclopedia of Armenian Nature
鸻科,topic's main category,Category:鸻科
彩鹬,IUCN conservation status,无危物种
彩鹬科,topic's main category,Category:Rostratulidae
大鸨,IUCN conservation status,易危物种
小鸨,IUCN conservation status,近危物种
骨顶鸡,IUCN conservation status,无危物种
鸻科,different from,Charadriidae
彩鹬,topic's main category,Category:Rostratulidae
大鸨,described by source,Encyclopedia of Armenian Nature
小鸨,described by source,亚美尼亚苏维埃百科全书
骨顶鸡,topic's main category,Category:Fulica atra
大鸨,described by source,俄语百科全书
骨顶鸡,described by source,Encyclopedia of Armenian Nature
大鸨,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
大鸨,Status in the Red List of Threatened Species in the Czech Republic,regionally extinct
黑水鸡,instance of,生物分类单元
红胸田鸡,instance of,生物分类单元
黑水鸡,parent taxon,Gallinula
长脚秧鸡,instance of,生物分类单元
黑水鸡,IUCN conservation status,无危物种
蓝胸秧鸡,instance of,生物分类单元
红胸田鸡,parent taxon,Porzana
黑水鸡,topic's main category,Category:Gallinula chloropus
秧鸡科,instance of,生物分类单元
蓑羽鹤,instance of,生物分类单元
赤颈鹤,instance of,生物分类单元
白鹤,instance of,生物分类单元
丹顶鹤,instance of,生物分类单元
红胸田鸡,original combination,Rallus fuscus
长脚秧鸡,parent taxon,Crex
黑水鸡,described by source,Nordisk familjebok
白头鹤,instance of,生物分类单元
黑颈鹤,instance of,生物分类单元
蓝胸秧鸡,parent taxon,Rallus
蓑羽鹤,instance of,异名
赤颈鹤,instance of,homotypic synonym
长脚秧鸡,IUCN conservation status,无危物种
黑水鸡,described by source,Encyclopedia of Armenian Nature
灰鹤,instance of,生物分类单元
鹤科,instance of,生物分类单元
黄脚三趾鹑,instance of,生物分类单元
三趾鹑科,instance of,生物分类单元
蓝胸秧鸡,subject has role,原始组合
白鹤,parent taxon,Leucogeranus
丹顶鹤,parent taxon,鹤属
长脚秧鸡,topic's main category,Category:Crex crex
黑水鸡,described by source,俄语百科全书
秧鸡科,topic's main category,Category:秧鸡科
绿孔雀,instance of,生物分类单元
白头鹤,parent taxon,鹤属
黑颈鹤,parent taxon,鹤属
蓑羽鹤,parent taxon,蓑羽鹤属
赤颈鹤,parent taxon,鹤属
白鹤,original combination,Siberian Crane
丹顶鹤,IUCN conservation status,濒危物种
长脚秧鸡,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
黑水鸡,Status in the Red List of Threatened Species in the Czech Republic,near threatened
秧鸡科,described by source,俄语百科全书
白头鹤,IUCN conservation status,易危物种
黑颈鹤,IUCN conservation status,易危物种
灰鹤,parent taxon,鹤属
黄脚三趾鹑,parent taxon,Turnix
三趾鹑科,parent taxon,Turniciformes
蓑羽鹤,original combination,Ardea virgo
赤颈鹤,original combination,Ardea antigone
白鹤,IUCN conservation status,极危
丹顶鹤,topic's main category,Category:Grus japonensis
秧鸡科,described by source,俄语百科全书
黑颈鹤,topic's main category,Category:Grus nigricollis
灰鹤,original combination,Ardea grus
鹤科,topic's main category,Category:鹤科
黄脚三趾鹑,IUCN conservation status,无危物种
三趾鹑科,topic's main category,Category:三趾鹑科
蓑羽鹤,IUCN conservation status,无危物种
绿孔雀,IUCN conservation status,濒危物种
灰鹤,IUCN conservation status,无危物种
绿孔雀,topic's main category,Category:Pavo muticus
灰鹤,award received,Bird of the Year
灰鹤,topic's main category,Category:Grus grus
灰鹤,described by source,Encyclopedia of Armenian Nature
灰鹤,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
白冠长尾雉,instance of,生物分类单元
白腹锦鸡,instance of,生物分类单元
雉鸡,instance of,生物分类单元
白颈长尾雉,instance of,生物分类单元
白冠长尾雉,parent taxon,长尾雉属
褐马鸡,instance of,生物分类单元
蓝马鸡,instance of,生物分类单元
雉鸡,subclass of,家禽
绿尾虹雉,instance of,生物分类单元
白鹇,instance of,生物分类单元
黑鹇,instance of,生物分类单元
蓝鹇,instance of,生物分类单元
白冠长尾雉,IUCN conservation status,易危物种
白腹锦鸡,parent taxon,锦鸡属
棕尾虹雉,instance of,生物分类单元
白颈长尾雉,parent taxon,长尾雉属
白腹锦鸡,IUCN conservation status,无危物种
褐马鸡,parent taxon,马鸡属
蓝马鸡,parent taxon,马鸡属
黄腹角雉,instance of,生物分类单元
红腹角雉,instance of,生物分类单元
灰腹角雉,instance of,生物分类单元
红胸角雉,instance of,生物分类单元
血雉,instance of,生物分类单元
雉鸡,parent taxon,雉属
白颈长尾雉,IUCN conservation status,近危物种
绿尾虹雉,parent taxon,虹雉属
白鹇,parent taxon,鷴属
黑鹇,parent taxon,鷴属
蓝鹇,parent taxon,鷴属
白腹锦鸡,named after,Sarah Amherst
褐马鸡,IUCN conservation status,易危物种
蓝马鸡,IUCN conservation status,无危物种
棕尾虹雉,parent taxon,虹雉属
雉鸡,IUCN conservation status,无危物种
绿尾虹雉,IUCN conservation status,易危物种
白鹇,IUCN conservation status,无危物种
蓝鹇,endemic to,台湾
白腹锦鸡,topic's main category,Category:Chrysolophus amherstiae
褐马鸡,topic's main category,Category:Crossoptilon mantchuricum
蓝马鸡,topic's main category,Category:Crossoptilon auritum
黄腹角雉,parent taxon,角雉属
红腹角雉,parent taxon,角雉属
棕尾虹雉,IUCN conservation status,无危物种
灰腹角雉,parent taxon,角雉属
红胸角雉,parent taxon,角雉属
血雉,parent taxon,Ithaginis
蓝鹇,IUCN conservation status,近危物种
黄腹角雉,IUCN conservation status,易危物种
红腹角雉,IUCN conservation status,无危物种
棕尾虹雉,topic's main category,Category:Lophophorus impejanus
灰腹角雉,IUCN conservation status,易危物种
红胸角雉,IUCN conservation status,近危物种
血雉,IUCN conservation status,无危物种
蓝鹇,named after,史温侯
黄腹角雉,named after,Samuel Cabot
红腹角雉,topic's main category,Category:Tragopan temminckii
灰腹角雉,topic's main category,Category:Tragopan blythii
斑翅山鹑,instance of,生物分类单元
鹌鹑,instance of,生物分类单元
高原山鹑,instance of,生物分类单元
石鸡,instance of,生物分类单元
雉鹑,instance of,生物分类单元
雉科,instance of,生物分类单元
斑尾榛鸡,instance of,生物分类单元
斑翅山鹑,parent taxon,Perdix
鹌鹑,parent taxon,鹑属
高原山鹑,parent taxon,Perdix
石鸡,parent taxon,石鸡属
雉鹑,parent taxon,雉鹑属
斑翅山鹑,IUCN conservation status,无危物种
松鸡,instance of,生物分类单元
松鸡科,instance of,生物分类单元
灰背隼,instance of,生物分类单元
燕隼,instance of,生物分类单元
鹌鹑,IUCN conservation status,无危物种
高原山鹑,IUCN conservation status,无危物种
石鸡,IUCN conservation status,无危物种
雉鹑,IUCN conservation status,无危物种
斑尾榛鸡,parent taxon,Testrates
游隼,instance of,生物分类单元
鹌鹑,described by source,Nordisk familjebok
石鸡,topic's main category,Category:Alectoris chukar
雉科,topic's main category,Category:雉科
斑尾榛鸡,subject has role,原始组合
松鸡,parent taxon,Tetrao
隼科,instance of,生物分类单元
燕隼,parent taxon,hobby
鹌鹑,described by source,Bible Encyclopedia of Archimandrite Nicephorus
石鸡,described by source,Encyclopedia of Armenian Nature
雉科,described by source,俄语百科全书
松鸡,IUCN conservation status,无危物种
松鸡科,topic's main category,Category:Tetraoninae
白头鹞,instance of,生物分类单元
灰背隼,IUCN conservation status,无危物种
燕隼,IUCN conservation status,无危物种
鹌鹑,described by source,Explanatory Dictionary of the Living Great Russian Language
雉科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
松鸡,topic's main category,Category:Tetrao urogallus
游隼,IUCN conservation status,无危物种
灰背隼,topic's main category,Category:Falco columbarius
燕隼,topic's main category,Category:Falco subbuteo
鹌鹑,described by source,俄语百科全书
雉科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
松鸡,described by source,亚美尼亚苏维埃百科全书
白头鹞,parent taxon,鹞属
游隼,award received,Bird of the Year
隼科,topic's main category,Category:隼科
灰背隼,described by source,Encyclopedia of Armenian Nature
鹌鹑,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
雉科,described by source,俄语百科全书
松鸡,described by source,大保利古典学百科全书
白头鹞,IUCN conservation status,无危物种
游隼,topic's main category,Category:Falco peregrinus
鹌鹑,Status in the Red List of Threatened Species in the Czech Republic,near threatened
松鸡,described by source,俄语百科全书
白头鹞,topic's main category,Category:Circus aeruginosus
松鸡,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
白头鹞,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
白尾鹞,instance of,生物分类单元
金雕,instance of,生物分类单元
鹰雕,instance of,生物分类单元
玉带海雕,instance of,生物分类单元
白肩雕,instance of,生物分类单元
白尾鹞,parent taxon,鹞属
金雕,parent taxon,真鵰属
鹰雕,parent taxon,Nisaetus
雀鹰,instance of,生物分类单元
凤头鹰,instance of,生物分类单元
白尾海雕,instance of,生物分类单元
苍鹰,instance of,生物分类单元
白尾鹞,IUCN conservation status,无危物种
玉带海雕,parent taxon,海鵰属
白肩雕,parent taxon,真鵰属
金雕,IUCN conservation status,无危物种
鹰雕,IUCN conservation status,无危物种
白尾鹞,topic's main category,Category:Circus cyaneus
玉带海雕,IUCN conservation status,濒危物种
白肩雕,IUCN conservation status,易危物种
金雕,topic's main category,Category:Aquila chrysaetos
雀鹰,parent taxon,鹰属
凤头鹰,parent taxon,鹰属
鹰科,instance of,生物分类单元
中华秋沙鸭,instance of,生物分类单元
白尾海雕,parent taxon,海鵰属
苍鹰,parent taxon,鹰属
白肩雕,topic's main category,Category:Aquila heliaca
金雕,Status in the Red List of Threatened Species in the Czech Republic,not applicable
雀鹰,IUCN conservation status,无危物种
凤头鹰,IUCN conservation status,无危物种
白尾海雕,IUCN conservation status,无危物种
苍鹰,IUCN conservation status,无危物种
白尾鹞,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
白肩雕,described by source,Encyclopedia of Armenian Nature
雀鹰,topic's main category,Category:Accipiter nisus
凤头鹰,topic's main category,Category:Accipiter trivirgatus
鹰科,parent taxon,鹰形目
中华秋沙鸭,parent taxon,锯子鸭
白尾海雕,topic's main category,Category:Haliaeetus albicilla
苍鹰,award received,Bird of the Year
白肩雕,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
雀鹰,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
中华秋沙鸭,IUCN conservation status,濒危物种
苍鹰,topic's main category,Category:Accipiter gentilis
鹰科,parent taxon,Accipitroidea
苍鹰,described by source,大保利古典学百科全书
鹰科,topic's main category,Category:鹰科
苍鹰,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
长尾鸭,instance of,生物分类单元
鹊鸭,instance of,生物分类单元
长尾鸭,parent taxon,Clangula
红头潜鸭,instance of,生物分类单元
凤头潜鸭,instance of,生物分类单元
鸳鸯,instance of,生物分类单元
长尾鸭,IUCN conservation status,易危物种
鹊鸭,parent taxon,Goldeneye
长尾鸭,topic's main category,Category:Clangula hyemalis
红头潜鸭,parent taxon,潜鸭属
凤头潜鸭,parent taxon,潜鸭属
琵嘴鸭,instance of,生物分类单元
斑嘴鸭,instance of,生物分类单元
鹊鸭,IUCN conservation status,无危物种
鸳鸯,parent taxon,鸳鸯属
长尾鸭,described by source,俄语百科全书
红头潜鸭,IUCN conservation status,易危物种
凤头潜鸭,IUCN conservation status,无危物种
鹊鸭,topic's main category,Category:Bucephala clangula
鸳鸯,IUCN conservation status,无危物种
长尾鸭,described by source,Encyclopedic Lexicon
红头潜鸭,topic's main category,Category:Aythya ferina
凤头潜鸭,topic's main category,Category:Aythya fuligula
琵嘴鸭,parent taxon,鸭属
斑嘴鸭,parent taxon,鸭属
鸳鸯,topic's main category,Category:Aix galericulata
长尾鸭,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
琵嘴鸭,subject has role,原始组合
斑嘴鸭,IUCN conservation status,无危物种
琵嘴鸭,topic's main category,Category:Spatula clypeata
斑嘴鸭,topic's main category,Category:Anas poecilorhyncha
琵嘴鸭,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
大天鹅,instance of,生物分类单元
斑头雁,instance of,生物分类单元
灰雁,instance of,生物分类单元
小天鹅,instance of,生物分类单元
鸿雁,instance of,生物分类单元
鸭科,instance of,生物分类单元
大天鹅,IUCN conservation status,无危物种
斑头雁,parent taxon,雁属
灰雁,parent taxon,雁属
大天鹅,topic's main category,Category:Cygnus cygnus
斑头雁,IUCN conservation status,无危物种
灰雁,IUCN conservation status,无危物种
小天鹅,IUCN conservation status,无危物种
黑鹳,instance of,生物分类单元
白鹳,instance of,生物分类单元
鸿雁,parent taxon,雁属
斑头雁,topic's main category,Category:Anser indicus
灰雁,topic's main category,Category:Anser anser
鹳科,instance of,生物分类单元
鸿雁,topic's main category,Category:Anser cygnoides
鸭科,topic's main category,Category:鸭科
灰雁,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
黑鹳,parent taxon,鹳属
白鹳,parent taxon,鹳属
黑鹳,IUCN conservation status,无危物种
白鹳,IUCN conservation status,无危物种
黑鹳,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
白鹳,award received,Bird of the Year
鹳科,topic's main category,Category:鹳科
白鹳,award received,Bird of the Year
白鹳,topic's main category,Category:Ciconia ciconia
白鹳,Status in the Red List of Threatened Species in the Czech Republic,near threatened
池鹭,instance of,生物分类单元
大白鹭,instance of,生物分类单元
白鹭,instance of,生物分类单元
池鹭,parent taxon,池鹭属
牛背鹭,instance of,生物分类单元
鹭科,instance of,生物分类单元
苍鹭,instance of,生物分类单元
白斑军舰鸟,instance of,生物分类单元
池鹭,IUCN conservation status,无危物种
大白鹭,parent taxon,鹭属
白鹭,parent taxon,白鹭属
池鹭,topic's main category,Category:Ardeola bacchus
牛背鹭,parent taxon,Bubulcus
军舰鸟科,instance of,生物分类单元
海鸬鹚,instance of,生物分类单元
鸬鹚科,instance of,生物分类单元
褐鲣鸟,instance of,生物分类单元
红脚鲣鸟,instance of,生物分类单元
大白鹭,IUCN conservation status,无危物种
白鹭,IUCN conservation status,无危物种
苍鹭,parent taxon,鹭属
白斑军舰鸟,parent taxon,军舰鸟
牛背鹭,IUCN conservation status,无危物种
鹭科,topic's main category,Category:Herons
大白鹭,topic's main category,Category:Ardea alba
白鹭,topic's main category,Category:Egretta garzetta
苍鹭,IUCN conservation status,无危物种
白斑军舰鸟,IUCN conservation status,无危物种
牛背鹭,topic's main category,Category:Bubulcus ibis
鹭科,topic's main category,Category:鹭科
海鸬鹚,parent taxon,鸬鹚
鲣鸟科,instance of,生物分类单元
斑嘴鹈鹕,instance of,生物分类单元
白鹈鹕,instance of,生物分类单元
鹈鹕科,instance of,生物分类单元
鹲科,instance of,生物分类单元
海燕科,instance of,生物分类单元
鸬鹚科,parent taxon,鸬鹚
褐鲣鸟,parent taxon,鲣鸟属
红脚鲣鸟,parent taxon,鲣鸟属
白鹭,described by source,俄语百科全书
苍鹭,topic's main category,Category:Ardea cinerea
军舰鸟科,topic's main category,Category:Fregata
海鸬鹚,IUCN conservation status,无危物种
鸬鹚科,topic's main category,Category:鸬鹚科
褐鲣鸟,IUCN conservation status,无危物种
红脚鲣鸟,IUCN conservation status,无危物种
白鹭,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
苍鹭,Status in the Red List of Threatened Species in the Czech Republic,near threatened
军舰鸟科,described by source,俄语百科全书
鲣鸟科,parent taxon,鲣鸟目
鹈鹕科,parent taxon,Pelicans
鹲科,parent taxon,鹲属
